,Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
0,1,10,1,29.3666,0.0,22.39,
1,1,10,1,2.0967,0.0,0.0,
2,1,10,1,25.2841,0.5405405405405406,21.22,113.20708654178615
3,1,10,1,31.164,2.1621621621621623,26.270000000000003,121.00065164482133
4,1,10,1,34.7746,0.0,28.919999999999998,
5,1,10,1,33.8731,0.5405405405405406,28.2,138.22979684758826
6,1,10,1,26.0986,1.6216216216216217,20.27,129.2421838465091
7,1,10,1,24.5817,0.5405405405405406,19.94,131.3939777934565
8,1,10,1,37.5296,1.6216216216216217,29.05,119.98255786993752
9,1,10,1,12.0346,0.0,9.1,
10,1,10,1,15.2462,1.6216216216216217,11.319999999999999,124.67261447922458
11,1,10,1,31.5116,0.5405405405405406,26.480000000000008,198.28409059695915
12,1,10,1,71.7727,3.2432432432432434,58.89,126.93814621404817
13,1,10,1,21.7411,0.5405405405405406,14.680000000000001,129.31546521376023
14,1,10,1,33.5557,3.4810810810810806,29.889999999999997,132.198434460425
15,1,10,1,48.8045,2.1621621621621623,41.86,160.1780533715871
16,1,10,1,24.2623,0.5405405405405406,18.550000000000004,126.26515638084607
17,1,10,1,30.2807,1.0810810810810811,23.88,122.8561756714814
18,1,10,1,47.5661,3.7837837837837838,40.74,127.54524306321483
19,1,10,1,21.9591,0.021621621621621623,15.26,126.77736091468428
20,1,20,1,46.615,2.7027027027027026,40.85,114.81786978190891
21,1,20,1,48.887,1.6216216216216217,39.53,180.47253468748252
22,1,20,1,34.1808,1.6216216216216217,26.439999999999998,123.2276368874892
23,1,20,1,13.2701,0.5405405405405406,10.02,110.65638367050009
24,1,20,1,12.8164,1.0810810810810811,10.190000000000001,111.99681420381417
25,1,20,1,16.0575,0.0,10.77,
26,1,20,1,18.7151,1.0810810810810811,16.93,139.54107064802483
27,1,20,1,25.1318,0.5405405405405406,20.830000000000002,111.32466038752548
28,1,20,1,31.2947,1.8918918918918919,25.04,116.59881951760758
29,1,20,1,11.4481,0.0,7.94,
30,1,20,1,9.6269,2.1621621621621623,6.88,156.77941750885668
31,1,20,1,33.7845,1.0810810810810811,25.96,122.51918320866169
32,1,20,1,6.5246,0.5405405405405406,4.16,133.76086690514043
33,1,20,1,14.2184,0.5405405405405406,9.959999999999999,103.69089026189532
34,1,20,1,26.9876,1.0810810810810811,21.43,122.49312787859554
35,1,20,1,51.1088,1.9675675675675677,42.76,116.81530315977936
36,1,20,1,20.5536,0.5405405405405406,17.02,107.94084355268325
37,1,20,1,22.6301,0.5405405405405406,17.19,132.68270984978167
38,1,20,1,22.2281,0.5405405405405406,15.940000000000001,117.97596580266281
39,1,20,1,24.5598,1.0810810810810811,18.46,131.91287719792064
40,1,30,1,18.2761,1.6216216216216217,14.61,119.16434407666134
41,1,30,1,8.5605,0.5405405405405406,4.92,124.6788169308235
42,1,30,1,17.475,0.5405405405405406,14.39,128.24734997145566
43,1,30,1,29.2918,0.5405405405405406,27.560000000000002,140.9706110784262
44,1,30,1,2.2296,0.0,0.08,
45,1,30,1,49.1357,0.5405405405405406,42.92,120.63319145912996
46,1,30,1,6.5088,1.0810810810810811,4.55,132.02237926316266
47,1,30,1,10.6485,0.5405405405405406,7.1,115.7531997471412
48,1,30,1,56.7797,2.1621621621621623,46.629999999999995,121.33934131485893
49,1,30,1,24.5861,1.0810810810810811,19.43,134.80605027409607
50,1,30,1,24.7324,0.5405405405405406,20.23,130.39677752679668
51,1,30,1,21.8105,0.5405405405405406,18.199999999999996,126.09778031083256
52,1,30,1,10.468,1.0810810810810811,8.45,133.51187797504855
53,1,30,1,32.1029,2.1621621621621623,26.860000000000003,118.02627617168156
54,1,30,1,41.5634,1.0810810810810811,33.82,119.36961214856164
55,1,30,1,27.2842,0.5405405405405406,21.369999999999997,127.65978758612454
56,1,30,1,5.3092,0.5405405405405406,2.5000000000000004,113.6057696790986
57,1,30,1,27.7403,0.5405405405405406,21.93,122.72343535057502
58,1,30,1,31.9029,0.0,23.53,
59,1,30,1,22.1797,0.5405405405405406,16.45,115.66320656135684
60,1,40,1,25.4172,0.5405405405405406,19.2,113.87518276779306
61,1,40,1,2.5658,0.0,0.0,
62,1,40,1,57.7831,1.0810810810810811,46.59,136.238189512217
63,1,40,1,37.9514,0.5405405405405406,33.85,136.6827232683431
64,1,40,1,29.9623,1.6216216216216217,23.449999999999996,112.45151013782997
65,1,40,1,23.7809,0.0,18.07,
66,1,40,1,17.2468,0.5405405405405406,13.479999999999999,113.37121957981441
67,1,40,1,23.5256,0.5405405405405406,20.07,121.05611104657159
68,1,40,1,34.0606,1.0810810810810811,28.15,123.45470154736174
69,1,40,1,24.0463,1.0810810810810811,18.85,109.5693577591752
70,1,40,1,41.6052,0.5405405405405406,33.39,125.44701312257229
71,1,40,1,20.8201,1.6216216216216217,17.97,127.11225574110263
72,1,40,1,17.7935,1.0810810810810811,14.45,135.9003728617007
73,1,40,1,26.013,1.0810810810810811,19.490000000000002,114.55251280822694
74,1,40,1,8.8662,1.0810810810810811,6.69,128.29791305673763
75,1,40,1,17.1954,0.5405405405405406,15.85,129.38244019320103
76,1,40,1,24.1412,1.0810810810810811,19.97,125.91960599963042
77,1,40,1,2.0894,0.0,0.0,
78,1,40,1,9.3486,0.5405405405405406,5.59,123.3219212760625
79,1,40,1,18.5572,1.0810810810810811,14.919999999999998,143.30226011090917
80,1,50,1,17.3474,0.5405405405405406,11.35,130.95073728939283
81,1,50,1,9.6923,0.0,6.42,
82,1,50,1,48.3694,2.7027027027027026,39.760000000000005,117.66637660395513
83,1,50,1,5.0682,0.5405405405405406,3.3099999999999996,145.88609753470314
84,1,50,1,22.8916,0.5405405405405406,15.8,116.63012943650986
85,1,50,1,46.2196,2.7027027027027026,40.82,123.68021676417007
86,1,50,1,10.1536,0.5405405405405406,8.45,133.132156576297
87,1,50,1,23.7932,1.6216216216216217,19.2,136.60304220629058
88,1,50,1,42.361,4.324324324324325,36.29,129.87730489015462
89,1,50,1,14.856,0.5405405405405406,10.690000000000001,116.67038701602397
90,1,50,1,28.7788,2.1621621621621623,24.32,131.34016433196288
91,1,50,1,44.4439,2.7027027027027026,39.42,120.69585170290956
92,1,50,1,53.1918,1.0810810810810811,42.4,124.21872654933497
93,1,50,1,8.9877,0.5405405405405406,5.2299999999999995,119.31509460745686
94,1,50,1,8.5419,1.0810810810810811,6.2299999999999995,116.65650412789597
95,1,50,1,27.9385,1.6216216216216217,22.68,115.59586532219687
96,1,50,1,33.4849,0.5405405405405406,27.810000000000002,130.46072379401986
97,1,50,1,14.2303,0.5405405405405406,8.78,110.28569752051209
98,1,50,1,30.7883,0.918918918918919,26.8,128.6081549138271
99,1,50,1,21.6609,1.0810810810810811,17.18,123.683895284973
100,1,60,1,27.9022,0.5405405405405406,21.46,116.48928565353177
101,1,60,1,28.0563,1.6216216216216217,21.910000000000004,117.82902029384451
102,1,60,1,7.0811,0.5405405405405406,4.119999999999999,125.5324534152886
103,1,60,1,42.1584,0.5405405405405406,32.71,108.91687455370612
104,1,60,1,20.7519,0.5405405405405406,16.44,117.02395910828852
105,1,60,1,28.3097,1.0810810810810811,23.44,129.76295518745786
106,1,60,1,27.9007,0.5405405405405406,23.119999999999997,120.73188479228914
107,1,60,1,38.9137,1.6216216216216217,30.829999999999995,119.88952839849962
108,1,60,1,28.512,1.0810810810810811,23.360000000000003,124.89589422118736
109,1,60,1,60.0159,1.0810810810810811,49.120000000000005,130.18284498225034
