Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation,5percentRG,5percentRP
1,10,1,1-10,15.731650000000002,0.0,11.195,,423.14795729558966,414.78852110951647
1,10,1,11-20,28.22405,1.3513513513513513,23.744999999999997,120.34096128002179,232.54531046714118,215.01152784565815
1,10,1,21-30,34.32385000000001,0.2702702702702703,28.559999999999995,138.22979684758826,339.9114911880713,322.5081114185771
1,10,1,31-40,25.340150000000005,1.0810810810810811,20.105,130.3180808199828,319.1891859904538,302.1434257228025
1,10,1,41-50,24.7821,0.8108108108108109,19.075,120.85510691190044,365.54211937401976,351.9394252971377
1,10,1,51-60,23.3789,1.0810810810810811,18.9,145.58217506858279,310.4697789571646,297.23265971118514
1,10,1,61-70,46.75690000000001,1.8918918918918919,36.785,128.6637337566664,243.13615926327512,222.02843830378555
1,10,1,71-80,41.180099999999996,2.8216216216216212,35.875,151.10614499784646,219.26708297820286,196.62521472957314
1,10,1,81-90,27.271500000000003,0.8108108108108109,21.214999999999996,123.99250257460295,362.74733146516724,349.83805921724905
1,10,1,91-100,34.7626,1.9027027027027028,28.0,125.60679540656751,347.0187074396516,330.7495331167138
1,20,1,1-10,47.751000000000005,2.1621621621621623,40.19,141.15823451468162,194.46554936073207,167.12682790497806
1,20,1,11-20,23.72545,1.0810810810810811,18.23,121.0102326272662,342.61209340837564,329.0314306525948
1,20,1,21-30,14.43695,0.5405405405405406,10.48,111.99681420381417,346.2548711857324,334.501677348721
1,20,1,31-40,21.923450000000003,0.8108108108108109,18.880000000000003,130.13560056119172,345.31933947402393,328.34795846317326
1,20,1,41-50,21.3714,0.9459459459459459,16.490000000000002,116.44365105158958,322.3737393933251,302.2038956685641
1,20,1,51-60,21.705700000000004,1.6216216216216217,16.42,133.93926130872669,334.14430204996,327.3419513893142
1,20,1,61-70,10.371500000000001,0.5405405405405406,7.06,118.72587858351787,413.4802414236502,390.8424128986605
1,20,1,71-80,39.04820000000001,1.5243243243243243,32.095,118.70791139938477,269.8702753850068,250.8626443987348
1,20,1,81-90,21.59185,0.5405405405405406,17.105,120.31177670123246,488.50827203886394,482.2921991002628
1,20,1,91-100,23.39395,0.8108108108108109,17.2,127.26724006616803,359.7076867837451,347.75702956039856
1,30,1,1-10,13.418300000000002,1.0810810810810811,9.765,121.92158050374242,421.79638359008885,416.1517264959824
1,30,1,11-20,23.383399999999998,0.5405405405405406,20.975,134.60898052494093,358.05897701444644,346.5267455689417
1,30,1,21-30,25.682649999999995,0.2702702702702703,21.500000000000007,120.63319145912996,394.6596294819019,385.9887810156039
1,30,1,31-40,8.57865,0.8108108108108109,5.825,123.88778950515193,388.2191838665965,374.89314046891474
1,30,1,41-50,40.682900000000004,1.6216216216216217,33.029999999999994,127.46546069164965,287.28131882705213,270.4639566187411
1,30,1,51-60,23.271449999999998,0.5405405405405406,19.215,128.24727891881463,337.6340494028068,318.8231696606957
1,30,1,61-70,21.28545,1.6216216216216217,17.655,124.12821907856038,282.6584836539129,272.1695267024196
1,30,1,71-80,34.4238,0.8108108108108109,27.595000000000006,122.1330039610826,329.1815418711042,313.5416363805325
1,30,1,81-90,16.52475,0.5405405405405406,12.215,118.16460251483682,387.8448712496367,368.4139119352918
1,30,1,91-100,27.0413,0.2702702702702703,19.990000000000002,115.66320656135684,450.3949412501477,438.4218415809344
1,40,1,1-10,13.991499999999998,0.2702702702702703,9.6,113.87518276779306,355.02084344829075,350.8846935683876
1,40,1,11-20,47.86725,0.8108108108108109,40.220000000000006,136.3863674309257,273.0368900840111,256.9578425732485
1,40,1,21-30,26.8716,0.8108108108108109,20.759999999999998,112.45151013782997,299.1789314159024,285.87254335310274
1,40,1,31-40,20.386199999999995,0.5405405405405406,16.775,117.21366531319299,378.4254348829106,364.45573253959344
1,40,1,41-50,29.053449999999998,1.0810810810810811,23.5,118.82625361796623,324.71931053757555,313.9078629527361
1,40,1,51-60,31.212649999999996,1.0810810810810811,25.68,125.33759736537634,317.62309585988476,299.5793905588459
1,40,1,61-70,21.903249999999996,1.0810810810810811,16.97,125.22644283496382,318.7493019418473,309.3582485556168
1,40,1,71-80,13.0308,0.8108108108108109,11.27,128.65942210222542,332.0510406984023,319.4508556782965
1,40,1,81-90,13.1153,0.5405405405405406,9.985,125.91960599963042,454.1641776606554,442.160377624066
1,40,1,91-100,13.9529,0.8108108108108109,10.254999999999999,136.6421471659603,383.0105879523263,374.46047174581327
1,50,1,1-10,13.51985,0.2702702702702703,8.885,130.95073728939283,457.5763435077928,455.2717433823289
1,50,1,11-20,26.718799999999998,1.6216216216216217,21.535,126.13704524127174,321.11978028309653,297.84507574054123
1,50,1,21-30,34.5556,1.6216216216216217,28.310000000000002,120.77496455579157,284.34160316363386,266.8878125681713
1,50,1,31-40,16.9734,1.0810810810810811,13.825,137.25799501572695,410.30924753047987,402.33656057284946
1,50,1,41-50,28.608500000000003,2.4324324324324325,23.490000000000002,127.11486511313461,304.2320268782112,289.47139517146866
1,50,1,51-60,36.61135,2.4324324324324325,31.870000000000005,125.98853690022759,280.6527221479979,265.25408718472545
1,50,1,61-70,31.08974999999999,0.8108108108108109,23.815,122.58418256870893,397.005048195059,384.25325615055823
1,50,1,71-80,18.240199999999998,1.3513513513513513,14.455000000000002,114.5845089453984,350.4655674985164,346.75773966859134
1,50,1,81-90,23.857599999999998,0.5405405405405406,18.295,120.37321065726597,395.4597293245964,388.4132544091476
1,50,1,91-100,26.2246,1.0,21.990000000000002,125.3253151612577,325.9586093423829,314.7180557597059
1,60,1,1-10,27.97925,1.0810810810810811,21.685,117.50939034283014,332.98068174940795,318.0509601894223
1,60,1,11-20,24.61975,0.5405405405405406,18.415,117.22466398449737,363.939434026196,355.7427726143127
1,60,1,21-30,24.530799999999996,0.8108108108108109,19.939999999999998,125.51662316106808,378.9405938236102,363.11761676868423
1,60,1,31-40,33.407199999999996,1.0810810810810811,26.975,119.67182712857924,291.8743074126909,274.6625357613908
1,60,1,41-50,44.26395000000001,1.0810810810810811,36.239999999999995,128.42052806189602,290.7594932608996,273.58711535221425
1,60,1,51-60,22.62695,1.227027027027027,17.57,122.13059492215409,365.46703506401656,351.0657890993089
1,60,1,61-70,17.4634,0.8108108108108109,13.309999999999999,121.972577559495,387.43927484585595,379.53936980156175
1,60,1,71-80,26.08725,0.8108108108108109,22.065,115.82354303937761,269.63768991923473,254.18106361869954
1,60,1,81-90,42.090799999999994,1.6216216216216215,34.235,119.01195357738266,269.61120833647414,249.62401520023985
1,60,1,91-100,37.7293,1.0810810810810811,31.165000000000003,116.29547377425608,264.2472930433001,248.91811873234013
1,70,1,1-10,13.328549999999998,0.8108108108108109,10.83,116.4035931325894,397.92482598897556,382.0976201033578
1,70,1,11-20,54.81575,1.8918918918918919,45.9,128.05675607636556,230.3951901272697,207.0225314784237
1,70,1,21-30,31.2729,1.0810810810810811,26.135,120.09316822426851,288.31883455152996,268.07223145891163
1,70,1,31-40,19.305800000000005,0.5405405405405406,14.839999999999998,129.28450979907146,366.08597826236957,358.55801275134485
1,70,1,41-50,21.28915,1.0810810810810811,18.125,125.16815471128807,381.90826952104015,370.84034852250363
1,70,1,51-60,34.936099999999996,1.6216216216216215,29.07,116.00555444012944,293.0104412837195,274.18498964241587
