Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1,70,1,35.8192,1.08108,28.98,112.682
1,70,1,40.3974,0,33.58,0
1,70,1,16.7375,0.540541,13.23,105.784
1,70,1,22.6351,1.08108,15.36,125.348
1,70,1,48.4196,2.7027,43.32,125.391
1,70,1,24.2004,2.16216,20.35,129.873
1,70,1,49.6694,2.16216,40.19,127.876
1,70,1,27.9606,1.62162,22.34,123.561
1,70,1,9.7368,0,6.84,0
1,70,1,7.3416,0,4.37,0
1,70,1,21.4902,1.62162,15.36,124.107
1,70,1,51.6645,1.62162,45.14,122.128
1,70,1,45.1084,1.08108,36.76,118.803
1,70,1,2.241,0,0,0
1,70,1,19.6868,0,15.35,0
1,70,1,35.7375,0,32.26,0
1,70,1,19.4642,2.7027,15.52,123.889
1,70,1,43.0863,0.540541,38.48,108.063
1,70,1,27.976,0.540541,25.22,107.373
1,70,1,14.8494,0,9.09,0
1,75,1,24.5138,1.62162,19.91,124.423
1,75,1,26.8018,1.08108,22.8,125.429
1,75,1,46.7977,0.540541,38.99,118.097
1,75,1,28.3597,1.08108,24.37,119.265
1,75,1,23.9373,0.540541,19.12,114.762
1,75,1,55.5374,2.16216,42.23,112.904
1,75,1,45.0788,1.08108,39.12,123.067
1,75,1,33.395,1.62162,26.47,114.076
1,75,1,45.0679,2.7027,37.72,134.329
1,75,1,50.4746,3.24324,42.96,123.223
1,75,1,20.5929,0.540541,16.52,115.976
1,75,1,48.4294,1.08108,38.64,123.598
1,75,1,11.5859,0.540541,8.81,121.484
1,75,1,19.3886,0.540541,14.69,118.546
1,75,1,21.5871,0,16.08,0
1,75,1,25.0302,1.08108,19.97,136.098
1,75,1,20.2928,0.540541,14.54,119.245
1,75,1,49.0593,2.16216,42.41,120.396
1,75,1,10.2144,0,6.97,0
1,75,1,24.3536,0.540541,20.58,145.433
1,80,1,24.6051,0.540541,20.06,115.551
1,80,1,9.245,0,5.03,0
1,80,1,43.0274,1.08108,38.53,130.935
1,80,1,22.5993,0,17.94,0
1,80,1,39.4303,1.08108,31.33,128.253
1,80,1,22.5289,0,17.13,0
1,80,1,26.9289,0.540541,19.89,110.049
1,80,1,26.6856,0,21.53,0
1,80,1,19.7769,0.540541,14.65,141.226
1,80,1,19.2516,1.08108,17.11,143.193
1,80,1,16.4856,0,11.51,0
1,80,1,40.9715,0,32.86,0
1,80,1,18.6181,0,13.59,0
1,80,1,2.3051,0,0.01,0
1,80,1,15.9922,1.08108,12.69,117.829
1,80,1,16.1137,0,11.41,0
1,80,1,21.6318,1.08108,17.29,140.242
1,80,1,40.3157,0.540541,34.56,118.526
1,80,1,53.4053,2.7027,42.74,115.582
1,80,1,35.6534,0.540541,27.14,114.238
1,90,1,37.6435,1.15676,28.76,116.763
1,90,1,21.9802,0,16.75,0
1,90,1,31.243,0.475676,23.7,123.502
1,90,1,47.0712,1.62162,39.42,123.076
1,90,1,53.2875,2.7027,47.61,125.953
1,90,1,4.9515,0,2.31,0
1,90,1,7.2873,1.08108,6.21,119.239
1,90,1,2.1726,0,0.02,0
1,90,1,17.7084,0.540541,14.72,134.735
1,90,1,24.5596,1.62162,21.83,127.073
1,90,1,40.8371,0,29.76,0
1,90,1,35.5114,0,28.81,0
1,90,1,18.5915,0.540541,14.34,107.992
1,90,1,31.1324,0.540541,23.41,118.164
1,90,1,25.201,1.08108,20.17,112.671
1,90,1,13.0695,0,9.03,0
1,90,1,2.1467,0,0.13,0
1,90,1,31.9576,0.540541,26.1,117.047
1,90,1,24.21,1.08108,19.79,127.168
1,90,1,36.6467,2.16216,28.37,121.36
1,100,1,14.5779,0,10.49,0
1,100,1,22.1963,0,16.53,0
1,100,1,31.9011,0.540541,23.52,138.16
1,100,1,18.8556,0,13.93,0
1,100,1,38.867,1.08108,32.39,128.224
1,100,1,9.911,0.540541,6.67,135.376
1,100,1,32.7282,0.540541,29.61,135.459
1,100,1,18.1956,1.08108,13.31,133.786
1,100,1,14.9501,0,11.05,0
1,100,1,35.4735,0.540541,28.54,131.107
1,100,1,16.7855,0.540541,12,117.208
