,Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
0,1,1,1,51.5661,3.1567567567567565,45.88,225.18669608625987
1,1,1,1,5.7549,3.243243243243243,3.2699999999999996,578.1339516557238
2,1,1,1,14.4112,3.2432432432432434,11.33,606.7849546102178
3,1,1,1,22.9398,2.1621621621621623,19.779999999999998,220.32063994349934
4,1,1,1,39.3581,3.7837837837837838,31.410000000000004,588.8775205896303
5,1,1,1,2.5903,3.2432432432432434,0.8400000000000001,776.1772806370208
6,1,1,1,37.8388,3.243243243243243,31.830000000000002,356.28624243299447
7,1,1,1,29.0864,3.978378378378378,25.509999999999998,267.7799034933472
8,1,1,1,35.3898,5.945945945945946,31.68,278.2649526904988
9,1,1,1,20.4449,1.6216216216216217,14.870000000000001,763.8975658465824
10,1,1,1,36.5956,2.7027027027027026,29.54,375.31694291722243
11,1,1,1,18.8813,4.324324324324325,18.02,404.6263173733838
12,1,1,1,2.1449,3.697297297297297,0.03,723.1418831183089
13,1,1,1,48.607,4.864864864864865,42.87,323.67458282134453
14,1,1,1,22.4258,2.7027027027027026,17.160000000000004,460.82068515020256
15,1,1,1,12.4376,3.243243243243243,10.97,559.5538993053639
16,1,1,1,17.3606,3.2432432432432434,12.55,471.2386346008805
17,1,1,1,28.4067,3.2432432432432434,24.68,181.6136243844328
18,1,1,1,21.4056,2.7027027027027026,18.59,273.46466470264943
19,1,1,1,20.9176,1.6216216216216217,16.619999999999997,479.28007251244804
20,1,10,1,29.3666,0.0,22.39,
21,1,10,1,2.0967,0.0,0.0,
22,1,10,1,25.2841,0.5405405405405406,21.22,113.20708654178615
23,1,10,1,31.164,2.1621621621621623,26.270000000000003,121.00065164482133
24,1,10,1,34.7746,0.0,28.919999999999998,
25,1,10,1,33.8731,0.5405405405405406,28.2,138.22979684758826
26,1,10,1,26.0986,1.6216216216216217,20.27,129.2421838465091
27,1,10,1,24.5817,0.5405405405405406,19.94,131.3939777934565
28,1,10,1,37.5296,1.6216216216216217,29.05,119.98255786993752
29,1,10,1,12.0346,0.0,9.1,
30,1,10,1,15.2462,1.6216216216216217,11.319999999999999,124.67261447922458
31,1,10,1,31.5116,0.5405405405405406,26.480000000000008,198.28409059695915
32,1,10,1,71.7727,3.2432432432432434,58.89,126.93814621404817
